access_num,gid,koid,cogid,hprd_nid,nhit_ref,nevalue,nscore,hprd_aid,ahit_ref,aevalue,ascore,degid,organismid
CEG1325,16272137,K03734,COG0797M,7702,NM_018241.2,0.31,95.65,07598_1,NP_006605.2,5.80E-01,38.78,DEG10050077,5
CEG0104,16272139,K00566,COG0482J,7271,NM_005128.2,0.024,100,15571_1,NP_060476.2,5.00E-177,41.24,DEG10050078,5
CEG1414,16272140,K05810,COG1496S,8570,NM_025134.4,0.22,100,08793_2,NP_001121775.1,2.00E-85,27.85,DEG10050079,5
CEG0351,16272141,K06180,COG0564J,19167,NM_001080534,1.2,100,07862_2,NP_001138299.1,9.00E-76,27.59,DEG10050080,5
CEG1367,16272144,K04069,COG1180O,19330,NM_001099220,0.87,100,05160_1,NP_055061.1,9.50E-02,30.43,DEG10050081,5
CEG0995,16272145,K00656,COG1882C,11126,NM_015312.3,0.7,95.65,08969_3,NP_001008883.1,3.1,38.46,DEG10050082,5
CEG1448,16272146,K06212,COG2116P,17402,NM_001011539,0.26,100,11329_2,NP_001129941.1,4.40E-01,28.04,DEG10050083,5
CEG1021,30995357,K00884,COG1940KG,1009,NM_002275.3,0.27,100,04825_2,NP_001121699.1,7.00E-92,26.55,DEG10050084,5
CEG0753,16272148,K03310,COG1115E,2819,NM_002264.3,0.44,100,08864_1,NP_004981.2,9.40E-02,35.62,DEG10050085,5
CEG0942,16272150,K00121,COG1062C,67,NM_001102470,0.022,90.91,00065_1,NP_000659.2,3.00E-139,45.82,DEG10050086,5
CEG0402,16272152,K03118,COG0805U,8014,NM_024548.2,0.23,100,09789_2,NP_758424.1,2.4,19.88,DEG10050087,5
CEG0347,16272155,K03839,COG0716C,15885,NM_032186.3,0.61,100,00485_1,NP_000932.3,2.30E-01,24.75,DEG10050088,5
CEG0571,16272157,K03645,COG3057L,8989,NM_001105250,0.011,96,00329_1,NP_000731.1,2.10E-01,24.62,DEG10050089,5
CEG1052,30995358,K01175,COG0596R,10147,NM_024989.3,0.23,100,15658_3,NP_683711.1,2.00E-76,35.08,DEG10050090,5
CEG0395,16272158,K01911,COG0318IQ,9135,NM_003715.2,0.41,100,07033_1,NP_005613.2,9.00E-130,16.86,DEG10050091,5
CEG0392,16272160,K01736,COG0082E,8452,NM_138964.2,1.3,100,06104_1,NP_005772.3,7.40E-01,24.44,DEG10050092,5
CEG0827,16272162,K07090,COG0730R,10702,NM_024948.2,0.23,100,16143_1,NP_079493.1,3,37.21,DEG10050093,5
CEG1198,16272163,K02560,COG1560M,4079,NM_007159.2,0.005,100,17621_1,NP_037394.2,3.2,23.94,DEG10050094,5
CEG0123,18677785,K02884,COG0335J,11123,NM_015026.2,1.6,100,11370_2,NP_055578.2,2.00E-34,33.33,DEG10050095,5
CEG0096,16272167,K02959,COG0228J,17721,NM_001004701,0.28,92.31,14778_1,NP_057149.1,2.00E-33,45.33,DEG10050096,5
CEG2153,16272168,---,---,9570,NM_015640.3,0.058,100,11159_2,NP_203753.1,1.00E-01,24.73,DEG10050097,5
CEG0235,16272170,K00891,COG0703E,4401,NM_002687.3,0.63,95.45,07974_1,NP_079114.3,7.00E-60,28.77,DEG10050098,5
CEG0525,16272171,K01735,COG0337E,10720,NM_032160.2,1.3,100,06802_1,NP_003751.2,4.80E-01,25.64,DEG10050099,5
CEG0811,16272172,K06223,COG0338L,1461,NM_145864.1,1,100,07937_1,NP_060385.2,3.50E-02,28.57,DEG10050100,5
CEG1045,16272173,K01096,COG0671I,5295,NM_201263.2,0.004,100,17397_1,NP_982278.3,1.10E-02,32,DEG10050101,5
CEG0278,30995360,K01497,COG0807H,9774,NM_001127586,3,100,06153_1,NP_060479.3,4.60E-01,37.5,DEG10050102,5
CEG0218,16272182,K03524,COG0340H,609,NM_152874.1,0.27,100,08360_1,NP_000402.3,5.00E-71,25.48,DEG10050103,5
CEG0244,16272185,K01951,COG0518F,17062,NM_001002911,1.9,100,10927_1,NP_003866.1,0,35.33,DEG10050104,5
CEG0798,16272186,K05786,COG2962R,3358,NM_001040712,1.1,100,11564_1,NP_064631.2,7.50E-02,30.99,DEG10050105,5
CEG0250,16272199,K03074,COG0341U,12824,NM_001128426,0.29,100,13852_2,NP_065831.1,1.00E-01,27.05,DEG10050106,5
CEG1005,16272204,K00773,COG0343J,5421,NM_197941.2,1.4,100,17943_1,NP_112486.1,3.00E-173,43.58,DEG10050107,5
CEG0577,16272209,K03832,COG0810M,18541,NM_006045.1,3.8,100,04258_1,NP_003399.1,1.00E-31,19.44,DEG10050108,5
CEG0203,16272213,K01714,COG0329EM,277,NM_177559.2,0.068,95.83,12584_1,NP_612422.2,4.00E-93,25.83,DEG10050109,5
CEG0224,16272224,K08591,COG0344S,16199,NM_177951.2,0.7,100,19488_1,NP_001094387.1,1.1,28.24,DEG10050110,5
CEG0151,16272232,K01885,COG0008J,2604,NM_024423.2,0.43,100,11174_3,NP_001077083.1,0,29.5,DEG10050111,5
CEG1483,16272234,K07058,COG1295S,12617,NM_213723.1,0.061,100,11923_1,NP_001013642.1,2.1,27.03,DEG10050112,5
CEG1581,16272238,K08680,COG0596R,13317,NM_205857.1,0.88,100,12407_1,NP_065727.4,1.00E-39,27.5,DEG10050113,5
CEG0545,16272239,K02551,COG1165H,14079,NM_001039887,0.52,95.65,09265_1,NP_057384.2,4.9,30.51,DEG10050114,5
CEG1194,16272240,K02552,COG1169HQ,12325,NM_033224.3,0.098,100,18521_1,NP_055515.1,5.9,23.75,DEG10050115,5
CEG1191,16272252,K02505,COG1459NU,12543,NM_052893.1,0.024,96,01948_3,NP_001020115.1,7.00E-01,26.44,DEG10050116,5
CEG1600,16272258,K09761,COG1385S,19545,NM_173348.1,0.87,95.45,08102_1,NP_612143.2,1.20E-01,28.07,DEG10050117,5
CEG1283,16272261,K03554,---,18997,NM_030647.1,4.3,100,05811_1,NP_005870.2,9.30E-02,22.63,DEG10050118,5
CEG1933,16272281,---,COG1509E,8100,NM_001135598,1.2,100,07737_1,NP_060816.1,2.30E-01,25.51,DEG10050119,5
CEG0656,16272287,K00901,---,17059,NM_001032395,1.6,100,04288_3,NP_002580.2,2.1,52.17,DEG10050120,5
CEG1381,16272289,K04751,COG0347E,10596,NM_001003841,1.5,100,18806_1,NP_001025231.1,3.8,41.18,DEG10050121,5
CEG0446,16272290,---,COG0628R,10493,NM_014918.4,0.31,100,12401_2,NP_759018.1,7,23.66,DEG10050122,5
CEG1201,16272296,K02573,COG1145C,11375,NM_001128596,0.99,95.45,02036_1,NP_000101.2,2.40E-01,29.69,DEG10050123,5
CEG0734,16272297,K02574,COG0348C,18203,NM_147156.3,1,95.45,12618_1,NP_116248.2,9.00E-01,44,DEG10050124,5
CEG2154,16272303,---,---,2393,NM_000216.2,0.013,100,16163_3,NP_068742.2,6.1,27.87,DEG10050125,5
CEG1150,16272305,K02050,COG0600P,10687,NM_001134651,0.87,100,15973_1,NP_001011552.2,1.4,35.29,DEG10050126,5
CEG1210,16272314,K02656,COG3063NU,5272,NM_001113178,0.63,100,02222_2,NP_858059.1,3.00E-43,28.07,DEG10050127,5
CEG1928,16272315,---,COG1426S,4585,NM_003821.5,0.069,100,05302_3,NP_001095891.1,4.80E-02,29.89,DEG10050128,5
CEG0578,16272321,K04044,COG0443O,2770,NM_004134.5,0.036,87.8,00776_1,NP_005518.3,0,39.43,DEG10050129,5
CEG0348,16272323,K04082,COG1076O,7642,NM_017988.4,0.039,100,16289_1,NP_741999.3,5.00E-61,26.25,DEG10050130,5
CEG1193,16272328,K02533,COG0565J,19356,NM_033390.1,0.85,95.45,08407_2,NP_001123630.1,2.50E-01,26.73,DEG10050131,5
CEG0569,16272330,K03641,COG0823U,15637,NM_032236.5,0.39,100,06918_1,NP_060288.3,1.00E-62,21.37,DEG10050132,5
CEG1321,16272335,K03722,COG1199KL,19304,NM_001098612,0.15,95.83,05797_1,NP_114432.1,2.00E-79,20.3,DEG10050133,5
CEG1956,30995371,---,COG1835I,1964,NM_000130.4,0.077,95.83,01610_2,NP_000993.1,1,30.77,DEG10050134,5
CEG0035,16272343,K01056,COG0193J,9111,NM_032119.3,0.68,100,12936_1,NP_001002913.1,2.00E-66,38.01,DEG10050135,5
CEG0777,16272348,K03651,COG1409R,18541,NM_006045.1,0.25,100,02889_2,NP_005581.2,2.8,32.2,DEG10050136,5
CEG2155,16272349,---,---,16759,NM_006107.3,1.3,100,06019_1,NP_055596.3,6.00E-03,28.21,DEG10050137,5
CEG0501,16272354,K00868,COG2240H,12435,NM_173654.1,1,95.45,01526_1,NP_003672.1,1.00E-98,31.28,DEG10050138,5
CEG0077,16272355,K01962,COG0825I,4380,NM_001145104,1.1,100,01982_1,NP_000523.2,7.00E-63,30.36,DEG10050139,5
CEG1434,16272361,K06179,COG0564J,1064,NM_006287.4,0.29,100,12668_1,NP_689473.1,4.00E-79,28.63,DEG10050140,5
CEG0307,30995373,K08300,COG1530J,10414,NM_052811.2,0.85,100,16252_1,NP_055456.2,3.00E-90,18.73,DEG10050141,5
CEG0504,16272365,K00941,COG0351H,7309,NM_152939.1,0.96,100,01526_1,NP_003672.1,1.00E-37,29.79,DEG10050142,5
CEG0649,16272366,K00788,COG0352H,14646,NM_182705.2,0.2,100,01298_2,NP_004440.1,4.70E-01,25.64,DEG10050143,5
CEG2156,16272367,---,---,16131,NM_001007236,0.1,100,07079_2,NP_004245.2,6.00E-61,15.37,DEG10050144,5
CEG0924,16272371,---,COG4123R,17564,NM_001004354,0.055,100,12898_2,NP_001026882.2,1.00E-50,17.36,DEG10050145,5
CEG2098,16272384,---,---,17817,NM_001037293,1.9,100,10363_4,NP_149072.1,7.40E-01,35.48,DEG10050146,5
CEG2097,16272385,---,---,15399,NM_030958.2,0.61,100,02853_1,NP_002514.1,3.80E-01,29.51,DEG10050147,5
CEG2096,16272386,---,---,4541,NM_003870.3,0.038,100,10012_2,NP_001104595.1,1.40E-02,36.36,DEG10050148,5
CEG2095,16272387,---,---,15574,NM_018718.1,0.94,100,06132_1,NP_006795.3,6.3,25.45,DEG10050149,5
CEG0082,16272403,K02341,COG0470L,17605,NM_018579.2,0.075,92.86,02676_1,NP_002906.1,2.00E-40,25.2,DEG10050150,5
CEG0108,30995377,K00943,COG0125F,10403,NM_006393.2,0.2,100,01773_1,NP_036277.2,2.00E-74,27.41,DEG10050151,5
CEG0418,16272406,K03771,COG0760O,1360,NM_000544.3,0.071,100,02219_1,NP_006214.2,1.10E-02,26.67,DEG10050152,5
CEG1181,16272408,K02428,COG1694R,19270,NM_005640.1,0.93,100,19247_1,NP_055646.2,4.60E-02,27.03,DEG10050153,5
CEG0284,16272412,K01807,COG0120G,18183,NM_014174.2,0.78,100,01589_1,NP_653164.2,3.00E-80,34.91,DEG10050154,5
CEG0314,16272413,K00058,COG0111HE,10476,NM_001042683,0.37,100,04015_2,NP_001012632.1,5.00E-112,30.26,DEG10050155,5
CEG0353,16272414,K06980,COG0354R,15682,NM_001005404,1,95.45,17318_1,NP_001010867.1,9.00E-68,26.09,DEG10050156,5
CEG2157,161350015,---,---,13492,NM_001001678,1,100,04972_1,NP_004738.3,5.00E-02,22.54,DEG10050157,5
CEG0495,16272416,K00765,COG0040E,3657,NM_001122681,0.069,100,06317_1,NP_055904.1,4.20E-01,34.15,DEG10050158,5
CEG0499,16272418,K00817,COG0079E,15251,NM_014961.3,0.33,100,11776_1,NP_000344.1,2.00E-71,21.57,DEG10050159,5
CEG1044,16272419,K01089,COG0241E,13644,NM_020733.1,1.3,100,15412_1,NP_079074.2,3.9,31.11,DEG10050160,5
CEG0695,16272421,K01814,COG0106E,10288,NM_173500.3,0.88,100,05429_1,NP_060015.1,7.90E-02,30.56,DEG10050161,5
CEG1347,16272424,K03834,COG0814E,17678,NM_013936.3,0.36,92.59,17506_2,NP_001033073.1,4.70E-01,22.34,DEG10050162,5
CEG0442,30995379,K11069,COG0687E,14035,NM_145257.3,1.2,100,00425_3,NP_001093206.1,2.2,34.78,DEG10050163,5
CEG0907,16272454,---,COG1720S,15604,NM_014671.2,3.3,100,12945_1,NP_057565.3,7.00E-68,33.51,DEG10050164,5
CEG0053,16272459,K03043,COG0085K,13788,NM_015060.1,1.2,100,15943_1,NP_000929.1,3.00E-104,24.01,DEG10050165,5
CEG0086,16272461,K02867,COG0080J,13190,NM_032129.2,2,100,14739_3,NP_733935.1,1.00E-56,41.13,DEG10050166,5
CEG1497,16272466,K07149,COG2364S,6990,NM_182740.1,0.77,100,15353_3,NP_705934.1,3.5,32.22,DEG10050167,5
CEG0064,16272469,K00927,COG0126G,2871,NM_012208.2,0.088,95.83,01393_1,NP_620061.2,1.00E-161,36.5,DEG10050168,5
CEG0118,16272476,K02316,COG0358L,17832,NM_017990.3,2.1,95.45,12034_3,NP_872589.1,4.20E-01,25.76,DEG10050169,5
CEG0030,16272477,K03086,COG0568K,10305,NM_139281.2,0.57,95.65,09478_2,NP_001003712.1,1.00E-49,27.44,DEG10050170,5
CEG1108,16272478,K01744,COG1027E,18687,NM_001018081,1.7,100,00652_1,NP_000134.2,0,40.17,DEG10050171,5
CEG0130,16272489,K02963,COG0238J,9007,NM_001145512,1,100,14782_1,NP_057151.1,3.00E-18,35.85,DEG10050172,5
CEG0399,161350027,K02686,COG2965L,15740,NM_032257.4,1.5,100,10011_1,NP_055543.2,3.9,35.9,DEG10050173,5
CEG0131,16272491,K02990,COG0360J,6772,NM_002874.3,0.43,100,17118_1,NP_660151.2,6.30E-01,32.47,DEG10050174,5
CEG0014,30995385,K02518,COG0361J,12113,NM_014729.2,0.96,100,14485_1,NP_660301.1,3.30E-01,25.45,DEG10050175,5
CEG0730,16272493,K02528,COG0030J,17331,NM_001012420,1,100,09515_1,NP_057104.2,6.00E-87,29.93,DEG10050176,5
CEG1922,16272504,---,COG1297S,1039,NM_000627.3,0.15,100,03786_1,NP_940682.2,5.8,21.15,DEG10050177,5
CEG1127,16272507,K01914,COG2502E,13125,NM_152624.4,0.075,95.83,19470_1,NP_001093146.1,2.50E-01,24.05,DEG10050178,5
CEG0242,30995386,K01783,COG0036G,10595,NM_017780.2,3.1,100,01608_2,NP_954699.1,2.00E-97,40.85,DEG10050179,5
CEG0013,16272510,K02470,COG0187L,17245,NM_181535.3,0.73,95.65,00537_1,NP_001059.2,0,24.83,DEG10050180,5
CEG1471,16272511,K06959,COG2183K,16579,NM_001010917,0.69,100,07669_1,NP_060549.4,0,34.3,DEG10050181,5
CEG1385,16272512,K04760,COG0782K,13800,NM_015324.2,2.2,100,08692_1,NP_653320.3,2.00E-01,30.56,DEG10050182,5
CEG0450,16272513,---,COG1309K,15133,NM_145167.2,0.18,100,11109_1,NP_056138.1,1.8,32.69,DEG10050183,5
CEG1329,16272516,K03745,COG2900S,7735,NM_001099455,0.98,100,18110_1,NP_055497.1,2.7,26.32,DEG10050184,5
CEG1999,16272518,---,COG2964S,10934,NM_001130037,0.78,95.45,09763_5,NP_878918.2,5.50E-01,22.86,DEG10050185,5
CEG0433,16272519,K07235,COG1553P,13503,NM_198461.3,1.7,100,07876_2,NP_001120680.1,1.5,29.09,DEG10050186,5
CEG0355,16272520,K07236,COG2923P,15169,AF494535.1,0.41,100,09433_1,NP_055807.1,7.9,31.11,DEG10050187,5
CEG0083,16272523,K02355,COG0480J,6542,NM_001039210,0.16,100,09413_1,NP_115756.2,0,36.66,DEG10050188,5
CEG0028,16272524,K02992,COG0049J,10728,NM_080616.3,0.55,100,17601_1,NP_057055.2,2.00E-50,32.05,DEG10050189,5
CEG0094,16272525,K02950,COG0048J,14824,NM_001012976,1.7,100,04316_3,NP_203527.1,3.00E-43,49.09,DEG10050190,5
CEG1582,16272527,K08693,COG0737F,13435,NM_178314.3,0.6,100,00552_1,NP_002517.1,4.00E-83,27.16,DEG10050191,5
CEG1285,161350026,K03565,---,6844,NM_001080391,0.13,95.65,09208_1,NP_015628.2,2.50E-01,33.33,DEG10050192,5
CEG1421,16272546,K05851,---,17188,NM_015251.2,3,100,11328_1,NP_689586.2,2.10E-02,26.32,DEG10050193,5
CEG0266,16272547,K00057,COG0240C,12321,NM_014813.1,1.2,100,10008_1,NP_055956.1,3.00E-127,24.71,DEG10050194,5
CEG0490,16272548,K00640,COG1045E,15599,NM_016021.2,0.95,100,11407_1,NP_114157.3,4.20E-02,31.03,DEG10050195,5
CEG0655,16272555,K00879,COG1070G,10123,NM_031438.2,1.7,100,08363_1,NP_976325.1,5.00E-165,24.12,DEG10050196,5
CEG1117,30995389,K01818,COG2407G,17409,NM_001012277,2.1,95.45,10705_1,NP_067653.3,3.50E-01,24.14,DEG10050197,5
CEG1182,16272557,K02430,COG1349KG,14761,NM_172177.2,0.057,95.83,04889_2,NP_001032897.1,6.90E-02,32.08,DEG10050198,5
CEG0585,16272559,K06177,COG0564J,15727,NM_152283.3,0.78,95.45,12668_1,NP_689473.1,3.00E-56,30.6,DEG10050199,5
CEG1185,16272560,K02441,COG0705R,14656,NM_173642.3,0.68,100,07027_1,NP_071895.3,1.00E-53,23.13,DEG10050200,5
CEG0409,16272568,K03499,COG0569P,18669,NM_016220.3,0.41,100,06097_1,NP_036610.2,9.2,37.14,DEG10050201,5
CEG0317,16272574,K00867,COG1072H,17629,NM_019080.2,1.1,100,18256_1,NP_113620.1,2.00E-72,25.13,DEG10050202,5
CEG1777,30995390,---,COG0038P,18310,NM_024096.1,1.7,100,04103_2,NP_001107803.1,3.00E-03,24.62,DEG10050203,5
CEG1398,16272577,K05539,COG0042J,10603,NM_018151.3,0.29,100,14252_1,NP_064560.2,2.00E-75,22.63,DEG10050204,5
CEG1041,16272588,K01048,COG2267I,18278,NM_006677.1,0.28,100,17574_1,NP_009214.1,5.00E-81,25.11,DEG10050205,5
CEG0193,16272589,K00133,COG0136E,6355,NM_001008564,1.3,100,00308_2,NP_284922.1,3.3,34.62,DEG10050206,5
CEG1536,16272590,K07507,COG1285S,3349,NM_003463.3,0.014,100,14730_2,NP_001093207.1,7,26.15,DEG10050207,5
CEG0342,16272592,K03656,COG0210L,16727,NM_194293.2,0.15,100,06243_1,NP_116196.3,4.00E-03,23.08,DEG10050208,5
CEG2158,16272593,---,---,17339,NM_001010883,0.94,100,09181_1,NP_001323.1,2.5,25.81,DEG10050209,5
CEG0170,16272594,K00954,COG0669H,15102,NM_020213.1,2.2,95.24,09786_1,NP_055854.1,1.6,26.67,DEG10050210,5
CEG0213,16272595,K02527,COG1519M,2238,NM_007250.4,0.39,100,17736_1,NP_110401.1,1.4,40.82,DEG10050211,5
CEG1057,16272597,K01246,---,18349,NM_014803.3,0.65,95.45,02289_2,NP_001002838.1,2.3,28.57,DEG10050212,5
CEG0372,16272598,K00014,COG0169E,19421,NM_001099267,0.97,92.31,03509_1,NP_003250.3,1.20E-01,30.19,DEG10050213,5
CEG0257,16272599,K07566,COG0009J,9556,NM_015254.3,0.64,100,00110_3,NP_001120965.1,4.10E-01,22.13,DEG10050214,5
CEG1531,16272600,K07479,COG0551L,7558,NM_018936.2,0.16,100,03145_1,NP_004609.1,1.80E-01,32.69,DEG10050215,5
CEG2072,16272603,---,COG4679S,6660,NM_020774.2,0.41,100,07345_1,NP_056131.2,3.40E-01,21.54,DEG10050216,5
CEG0255,16272605,K06148,COG1132V,17468,NM_020690.4,2,100,01360_1,NP_000535.3,3.00E-137,21.72,DEG10050217,5
CEG1498,16272606,K07154,COG3550R,5260,NM_004311.2,0.31,95.65,10020_2,NP_001138890.1,3.9,26.79,DEG10050218,5
CEG1187,16272609,K02446,COG0191G,18051,NM_001136033,0.3,100,01777_2,NP_001027454.1,2,28.21,DEG10050219,5
CEG0204,16272613,K01770,COG0245I,11446,NM_006591.1,2.2,100,11029_1,NP_062828.3,3.7,28.89,DEG10050220,5
CEG0171,16272614,K00991,COG1211I,16905,NM_018318.3,0.8,95.45,19679_2,NP_001094896.1,1.00E-94,29.13,DEG10050221,5
CEG1004,16272616,K00769,COG0503F,4950,NM_133482.1,2.1,100,00029_1,NP_000476.1,2.90E-01,36.84,DEG10050222,5
CEG1063,16272617,K01270,COG2195E,10168,NM_001102668,1.7,95.45,11670_1,NP_065175.4,4.5,31.11,DEG10050223,5
CEG2159,16272619,---,---,15262,NM_173662.2,0.51,100,05289_1,NP_004217.1,2.6,25.19,DEG10050224,5
CEG0150,16272620,K01803,COG0149G,11098,NM_014817.3,0.93,100,01833_1,NP_000356.1,6.00E-106,45.14,DEG10050225,5
CEG1184,16272621,K02439,COG0607P,13319,NM_138782.2,0.36,100,12320_1,NP_009138.1,6.40E-01,26.76,DEG10050226,5
CEG0798,16272622,K05786,COG2962R,13125,NM_152624.4,1,100,15373_1,NP_079157.3,7.40E-01,24.55,DEG10050227,5
CEG1192,16272623,K02521,COG0583K,16288,NM_017680.3,0.26,100,13934_1,NP_778253.2,3.60E-01,25.56,DEG10050228,5
CEG0940,16272626,K00112,COG3075E,19075,NM_001080437,1.5,95.45,00715_2,NP_001076581.1,7.00E-01,35.71,DEG10050229,5
CEG0939,16272627,K00111,COG0578C,13842,NM_020722.1,2,100,00715_2,NP_001076581.1,8.00E-163,25.95,DEG10050230,5
CEG2160,16272629,---,---,11426,NM_032507.2,0.069,100,15531_2,NP_001128130.1,8.00E-03,24.46,DEG10050231,5
CEG2161,16272630,---,---,6814,NM_006085.4,0.35,100,10009_1,NP_055871.1,1.30E-01,25,DEG10050232,5
CEG1511,16272639,K07278,COG0729M,285,NM_001903.2,0.13,100,09391_2,NP_115268.1,2.00E-01,27.12,DEG10050233,5
CEG1433,16272642,K06176,COG0585S,17154,NM_018085.4,0.31,100,07914_1,NP_061915.2,4.00E-46,25,DEG10050234,5
CEG0763,16272647,K03555,COG0249L,18161,NM_015173.2,0.78,95.65,07202_1,NP_000170.1,0,27.76,DEG10050235,5
CEG1346,16272649,K03833,COG3276J,16945,NM_001004322,0.14,95.83,03765_1,NP_004277.2,6.00E-84,22.12,DEG10050236,5
CEG2004,16272651,---,COG3041S,19378,NM_001098718,0.35,100,15689_1,NP_076418.3,1.4,23.23,DEG10050237,5
CEG0513,161350016,K01358,COG0740OU,7258,NM_006544.3,2.7,95.24,03074_1,NP_006003.1,6.00E-94,58.64,DEG10050238,5
CEG0159,16272656,K03073,COG0690U,14807,NM_176811.2,1.4,100,16617_1,NP_065164.2,2.7,36.11,DEG10050239,5
CEG0181,16272657,K02601,COG0250K,6016,NM_021230.2,0.042,92.86,18795_1,NP_001025033.1,4.20E-01,35.42,DEG10050240,5
CEG0795,16272658,K04754,COG0797M,17355,NM_001012418,0.89,100,18031_1,NP_689966.2,2,33.87,DEG10050241,5
CEG0759,16272663,K03498,COG0168P,18864,NM_001033723,0.44,100,13793_2,NP_001124435.1,7.10E-01,30.36,DEG10050242,5
CEG1553,16272666,K07685,COG2197TK,18934,NM_001080450,0.74,100,08141_1,NP_689705.2,7.90E-01,26.67,DEG10050243,5
CEG1443,16272668,K06202,---,15780,NM_021220.2,0.088,100,04990_4,NP_976037.1,1.7,47.62,DEG10050244,5
CEG1311,16272669,K03654,COG0514L,4806,NM_001003716,4.00E-08,91.49,05211_1,NP_000048.1,3.00E-177,32.83,DEG10050245,5
CEG0010,16272670,K01881,COG0442J,13220,NM_152268.2,0.52,100,13220_1,NP_689481.2,1.00E-92,46.9,DEG10050246,5
CEG0306,16272671,K04744,COG1452M,18319,NM_006887.4,2.8,100,17648_1,NP_659547.2,1.6,26.6,DEG10050247,5
CEG1383,16272674,K04753,COG2132Q,10426,NM_020390.5,1.1,95.45,00197_2,NP_001013275.1,2.5,37.84,DEG10050248,5
CEG0105,16272675,K00655,COG0204I,4656,NM_002420.4,0.85,100,04373_2,NP_006403.2,9.00E-83,30.67,DEG10050249,5
CEG0012,16272681,K02337,COG0587L,7385,NM_001111019,1.1,95.65,,,no hit,no hit,DEG10050250,5
CEG0393,30995397,K01840,COG1109G,3114,NM_006260.3,0.032,100,11761_1,NP_060760.2,0,32.47,DEG10050251,5
CEG0387,30995398,K01356,COG1974KT,1436,NM_002644.3,0.19,100,03380_1,NP_006169.2,2.80E-01,26.8,DEG10050252,5
CEG0283,16272691,K01778,COG0253E,6841,NM_020345.3,0.25,100,17322_1,NP_981967.1,5,42.5,DEG10050253,5
CEG1585,16272694,K09001,COG2377O,3508,NM_004898.2,0.35,100,19552_1,NP_001121687.1,3.90E-01,33.96,DEG10050254,5
CEG2079,16272697,---,COG4942D,2262,NM_001080975,0.37,100,11042_2,NP_116210.2,5.00E-45,25.55,DEG10050255,5
CEG0205,16272698,K01834,COG0588G,17243,NM_181539.4,0.8,95.45,02027_1,NP_000281.2,2.00E-112,50.89,DEG10050256,5
CEG0183,16272699,K02909,COG0254J,9608,NM_032427.1,0.06,100,07087_1,NP_057425.3,2.4,42.31,DEG10050257,5
CEG0885,16272703,---,COG0639T,17533,NM_175922.3,0.2,100,00406_1,NP_758860.1,2.40E-01,23.96,DEG10050258,5
CEG1447,16272704,K06211,COG1056H,9186,NM_001039656,0.38,100,01371_1,NP_061337.1,1.10E-01,24.46,DEG10050259,5
CEG0842,16272708,K08316,COG0742L,12232,NM_001136555,0.68,100,07528_4,NP_001020278.1,3.00E-01,33.33,DEG10050260,5
CEG0031,16272709,K03110,COG0552U,3112,NM_006190.3,0.095,100,01645_1,NP_003130.2,1.00E-100,26.18,DEG10050261,5
CEG0359,16272710,K09812,COG2884D,110,NM_001148.4,0.77,100,02501_1,NP_005493.2,1.00E-61,26.39,DEG10050262,5
CEG0358,16272711,K09811,COG2177D,19027,NM_001080396,1.1,95.45,04145_2,NP_002903.3,5.00E-01,32.81,DEG10050263,5
CEG1159,16272713,K02106,COG2031I,18739,NM_001029857,0.4,92.59,04103_2,NP_001107803.1,1.2,22.39,DEG10050264,5
CEG1040,16272714,K01035,COG2057I,9678,NM_007027.3,0.013,100,15093_1,NP_071403.1,5.00E-104,42.86,DEG10050265,5
CEG1039,16272715,K01034,COG1788I,14262,NM_001042717,0.77,100,02001_1,NP_000427.1,9.00E-93,34.98,DEG10050266,5
CEG0125,16272720,K02892,COG0089J,9603,NM_005156.5,1.3,100,02876_1,NP_066957.3,2.00E-25,32.89,DEG10050267,5
CEG0088,16272721,K02886,COG0090J,12931,NM_198841.2,0.97,100,14745_1,NP_057034.2,6.00E-65,39.79,DEG10050268,5
CEG0051,16272722,K02965,COG0185J,11176,NM_032560.4,0.31,100,01613_1,NP_001009.1,2.00E-20,41.79,DEG10050269,5
CEG0021,16272723,K02890,COG0091J,1309,NM_000912.3,0.096,100,14748_1,NP_054899.2,4.00E-34,30.1,DEG10050270,5
CEG0052,16272724,K02982,COG0092J,2650,NM_002202.2,3.3,100,10941_1,NP_000996.2,2.00E-60,30.17,DEG10050271,5
CEG0020,16272725,K02878,COG0197J,6358,NM_030781.2,0.47,100,14743_1,NP_060310.1,9.00E-46,30.77,DEG10050272,5
CEG0023,16272726,K02904,COG0255J,18933,NM_001039840,0.84,100,10200_1,NP_009140.1,6.90E-02,40,DEG10050273,5
CEG0050,16272727,K02961,COG0186J,7862,NM_001144827,0.074,100,01599_1,NP_001006.1,4.00E-22,31.33,DEG10050274,5
CEG0018,16272729,K02874,COG0093J,1381,NM_181523.1,0.002,100,04716_1,NP_000969.1,5.00E-32,40,DEG10050275,5
CEG0022,16272730,K02895,COG0198J,1790,NM_005653.3,0.35,100,14749_2,NP_078816.2,1.00E-31,31.68,DEG10050276,5
CEG0003,30995402,K02931,COG0094J,6004,NM_001143828,0.5,100,10364_1,NP_000966.2,2.00E-37,30.56,DEG10050277,5
CEG0049,16272732,K02954,COG0199J,11396,NM_032132.3,0.35,100,14777_1,NP_071383.1,2.00E-25,41.18,DEG10050278,5
CEG0132,16272733,K02994,COG0096J,12325,NM_033224.3,0.11,100,04723_2,NP_001025180.1,2.00E-42,28.06,DEG10050279,5
